date,data,stationary,det_lin_up,det_lin_down,det_quad,det_cubic,det_exp,det_damped,stoc_trend,volatility,single_seas,multiple_seas,point_anom_single,point_anom_multi,collect_anom,context_anom,mean_shift,var_shift,trend_shift,point_anom_count,point_anom_location,point_anom_point,collect_anom_count,collect_anom_location,collect_anom_start,collect_anom_end,context_anom_start,context_anom_end,mean_shift_count,mean_shift_location,mean_shift_point,variance_shift_count,variance_shift_location,variance_shift_points,trend_shift_count,trend_shift_location,trend_shift_points,trend_shift_type,is_multi_characteristic,characteristic_1_type,characteristic_2_type,is_point_anomaly_active,is_collective_anomaly_active,is_contextual_anomaly_active,is_mean_shift_active,is_variance_shift_active,is_trend_shift_active,is_linear_trend_active,is_quadratic_trend_active,is_cubic_trend_active,is_exponential_trend_active,is_damped_trend_active,is_single_seasonality_active,is_multiple_seasonality_active,is_seasonal_base_active,is_stochastic_base_active,is_volatility_base_active
2020-01-01,0.31928229018962195,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,"[14, 34, 54, 85, 104, 118, 119, 135, 189, 199, 237, 238, 243, 310, 352, 370, 383, 398]","[14, 34, 54, 85, 104, 118, 119, 135, 189, 199, 237, 238, 243, 310, 352, 370, 383, 398]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,-0.013161327869169468,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,"[14, 34, 54, 85, 104, 118, 119, 135, 189, 199, 237, 238, 243, 310, 352, 370, 383, 398]","[14, 34, 54, 85, 104, 118, 119, 135, 189, 199, 237, 238, 243, 310, 352, 370, 383, 398]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03,0.6102906844845674,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,"[14, 34, 54, 85, 104, 118, 119, 135, 189, 199, 237, 238, 243, 310, 352, 370, 383, 398]","[14, 34, 54, 85, 104, 118, 119, 135, 189, 199, 237, 238, 243, 310, 352, 370, 383, 398]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04,-0.7885677047693991,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,"[14, 34, 54, 85, 104, 118, 119, 135, 189, 199, 237, 238, 243, 310, 352, 370, 383, 398]","[14, 34, 54, 85, 104, 118, 119, 135, 189, 199, 237, 238, 243, 310, 352, 370, 383, 398]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,1.2329509484843835,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,"[14, 34, 54, 85, 104, 118, 119, 135, 189, 199, 237, 238, 243, 310, 352, 370, 383, 398]","[14, 34, 54, 85, 104, 118, 119, 135, 189, 199, 237, 238, 243, 310, 352, 370, 383, 398]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-06,-1.0922750933693268,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,"[14, 34, 54, 85, 104, 118, 119, 135, 189, 199, 237, 238, 243, 310, 352, 370, 383, 398]","[14, 34, 54, 85, 104, 118, 119, 135, 189, 199, 237, 238, 243, 310, 352, 370, 383, 398]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-07,1.3842908160343705,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,"[14, 34, 54, 85, 104, 118, 119, 135, 189, 199, 237, 238, 243, 310, 352, 370, 383, 398]","[14, 34, 54, 85, 104, 118, 119, 135, 189, 199, 237, 238, 243, 310, 352, 370, 383, 398]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-08,-0.3240778943144941,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,"[14, 34, 54, 85, 104, 118, 119, 135, 189, 199, 237, 238, 243, 310, 352, 370, 383, 398]","[14, 34, 54, 85, 104, 118, 119, 135, 189, 199, 237, 238, 243, 310, 352, 370, 383, 398]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-09,0.5096757299638929,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,"[14, 34, 54, 85, 104, 118, 119, 135, 189, 199, 237, 238, 243, 310, 352, 370, 383, 398]","[14, 34, 54, 85, 104, 118, 119, 135, 189, 199, 237, 238, 243, 310, 352, 370, 383, 398]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-10,0.4943094203685935,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,"[14, 34, 54, 85, 104, 118, 119, 135, 189, 199, 237, 238, 243, 310, 352, 370, 383, 398]","[14, 34, 54, 85, 104, 118, 119, 135, 189, 199, 237, 238, 243, 310, 352, 370, 383, 398]",0,none,,,0,0,0,none,,0,none,,0,none,,none,0,Point Anomalies,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
